Country,Life expectancy at birth (years)-Both sexes,Life expectancy at birth (years)-Male,Life expectancy at birth (years)-Female,Life expectancy at age 60 (years)-Both sexes,Life expectancy at age 60 (years)-Male,Life expectancy at age 60 (years)-Female
Afghanistan,63.2,63.3,63.2,15.2,15.4,15.1
Albania,78,76.3,79.9,21,20.2,21.9
Algeria,77.1,76.2,78.1,22,21.5,22.6
Angola,63.1,60.7,65.5,17,15.4,18.6
Antigua and Barbuda,76.5,74.9,78,20.6,19.8,21.3
Argentina,76.6,73.5,79.5,21.1,18.8,23.1
Armenia,76,72.5,79.2,20.4,18.2,22.1
Australia,83,81.3,84.8,25.6,24.4,26.8
Austria,81.6,79.4,83.8,24.1,22.4,25.6
Azerbaijan,71.4,68.8,74.1,17.1,15.6,18.3
Bahamas,73.2,69.9,76.6,20.8,19.1,22.4
Bahrain,75.8,75,77,19,18.7,19.4
Bangladesh,74.3,73,75.6,20.9,20.3,21.5
Barbados,76,74.3,77.7,20.9,19.9,21.8
Belarus,74.8,69.7,79.6,19.7,16,22.5
Belgium,81.4,79.3,83.5,24,22.3,25.6
Belize,74.4,71.4,77.8,21.5,20.3,22.9
Benin,63.4,61.2,65.7,17.4,16.1,18.5
Bhutan,73.1,72,74.4,19.4,18.9,19.9
Bolivia (Plurinational State of),72.1,71.1,73.1,18.6,18,19.1
Bosnia and Herzegovina,76.8,74.4,79.1,20.2,18.6,21.6
Botswana,62.2,58.9,65.5,16.2,14.2,18
Brazil,75.9,72.4,79.4,21.9,20.1,23.5
Brunei Darussalam,74.3,73.4,75.4,19.2,19,19.4
Bulgaria,75.1,71.6,78.6,19.8,17.4,22
Burkina Faso,62.7,60.1,65.2,16.8,15.2,18.1
Burundi,63.8,61.5,66.1,16.5,15.2,17.6
Cabo Verde,74,69.9,77.9,19.7,16.8,21.8
Cambodia,70.1,67.2,72.7,17.7,15.9,19.1
Cameroon,62.4,60.3,64.5,17.1,15.8,18.3
Canada,82.2,80.4,84.1,25.2,23.8,26.4
Central African Republic,53.1,50.2,56.3,13.2,11.3,14.9
Chad,59.6,58,61.3,16.5,15.7,17.3
Chile,80.7,78.1,83.2,24.3,22.4,25.9
China,77.4,74.7,80.5,21.1,19.2,23.1
Colombia,79.3,76.7,81.9,24,22.5,25.3
Comoros,67.4,65.9,68.9,18.1,17.4,18.8
Congo,64.7,63.8,65.6,16.4,15.7,17.1
